dblp_key,year,title,venue,members
journals/ese/CalefatoGILS22,2022,Will you come back to contribute? Investigating the inactivity of OSS core developers in GitHub,Empir. Softw. Eng.,igor-steinmacher;marco-gerosa
conf/icsm/RibeiroNSXGPW22,2022,Together or Apart? Investigating a mediator bot to aggregate bot's comments on pull requests,ICSME,igor-steinmacher;mairieli-wessel;marco-gerosa
journals/software/ShihabWGWC22,2022,The Present and Future of Bots in Software Engineering,IEEE Softw.,mairieli-wessel;marco-gerosa
conf/icse/MatsubaraSGC22,2022,The best defense is a good defense: adapting negotiation methods for tackling pressure over software project estimates,ICSE (NIER),bruno-gadelha;igor-steinmacher;patricia-matsubara;tayana-conte
journals/sigsoft/0001GW22,2022,Summary of the Third International Workshop on Bots in Software Engineering (BotSE 2021),ACM SIGSOFT Softw. Eng. Notes,mairieli-wessel;marco-gerosa
journals/sigsoft/SteinmacherPC22,2022,Summary of the 12th Brazilian Conference on Software and the 1st Latin American School on Software Engineering,ACM SIGSOFT Softw. Eng. Notes,igor-steinmacher;tayana-conte
conf/msr/WesselGS22,2022,Software Bots in Software Engineering: Benefits and Challenges,MSR,mairieli-wessel;marco-gerosa
journals/jss/MatsubaraGSC22,2022,SEXTAMT: A systematic map to navigate the wide seas of factors affecting expert judgment software estimates,J. Syst. Softw.,bruno-gadelha;igor-steinmacher;patricia-matsubara;tayana-conte
journals/ese/WesselSWSG22,2022,Quality gatekeepers: investigating the effects of code review bots on pull request activities,Empir. Softw. Eng.,igor-steinmacher;igor-wiese;mairieli-wessel;marco-gerosa
journals/tse/TrinkenreichGWC22,2022,Pots of Gold at the End of the Rainbow: What is Success for Open Source Contributors?,IEEE Trans. Software Eng.,bianca-trinkenreich;igor-steinmacher;igor-wiese;marco-gerosa;tayana-conte
conf/icse/GuizaniTCSGS22,2022,Perceptions of the State of D&I and D&I Initiative in the ASF,ICSE-SEIS,bianca-trinkenreich;igor-steinmacher;marco-gerosa
conf/sbqs/CavalcanteG0SNC22,2022,Joy to the Work: How Does Software Team Formation Strategy Influence Job Satisfaction?,SBQS,bruno-gadelha;igor-steinmacher;tayana-conte
conf/icse/GuizaniSEFBS22,2022,How to Debug Inclusivity Bugs? A Debugging Process with Information Architecture,ICSE-SEIS,igor-steinmacher
conf/esem/SantosTPWSSG22,2022,How to Choose a Task? Mismatches in Perspectives of Newcomers and Existing Contributors,ESEM,bianca-trinkenreich;fabio-santos;igor-steinmacher;igor-wiese;joao-pimentel;marco-gerosa
journals/tse/PadalaMFSSHHHSB22,2022,How Gender-Biased Tools Shape Newcomer Experiences in OSS Projects,IEEE Trans. Software Eng.,igor-steinmacher;marco-gerosa
conf/ease/LuzOS22,2022,How Experimentation in Software Engineering has been taught? Survey and Research Agenda,EASE,igor-steinmacher
conf/wcre/SantosWSSG22,2022,Hits and Misses: Newcomers' ability to identify Skills needed for OSS tasks,SANER,igor-steinmacher;igor-wiese;italo-santos;marco-gerosa
journals/tochi/ChavesEHDG22,2022,Chatbots Language Design: The Influence of Language Variation on User Experience with Tourist Assistant Chatbots,ACM Trans. Comput. Hum. Interact.,ana-paula-chaves;marco-gerosa
journals/software/KulaTHBSGA22,2022,Challenges for Inclusion in Software Engineering: The Case of the Emerging Papua New Guinean Society,IEEE Softw.,igor-steinmacher;marco-gerosa
conf/icse/WesselAWCSGS22,2022,"Bots for Pull Requests: The Good, the Bad, and the Promising",ICSE,igor-steinmacher;igor-wiese;mairieli-wessel;marco-gerosa;tayana-conte
conf/msr/AbdellatifWSGS22,2022,BotHunter: An Approach to Detect Software Bots in GitHub,MSR,igor-steinmacher;mairieli-wessel;marco-gerosa
conf/icse/TrinkenreichBGS22,2022,An Empirical Investigation on the Challenges Faced by Women in the Software Industry: A Case Study,ICSE-SEIS,bianca-trinkenreich;igor-steinmacher;marco-gerosa
conf/sbes/SouzaWSR22,2022,A characterization study of testing contributors and their contributions in open source projects,SBES,igor-steinmacher;igor-wiese
conf/sbes/SoupinskiASWBCF22,2022,"""We are dying!"" On Death Signals of Software Ecosystems",SBES,igor-steinmacher;igor-wiese;pedro-oliveira
conf/icse/DiasMCSW021,2021,What Makes a Great Maintainer of Open Source Projects?,ICSE,igor-steinmacher;igor-wiese
conf/sbes/TonhaoCS21,2021,Using Real Worked Examples to Aid Software Engineering Teaching,SBES,igor-steinmacher;simone-tonhao
conf/sbes/MatsubaraSMGC21,2021,Trust yourself! Or maybe not: factors related to overconfidence and uncertainty assessments of software effort estimates,SBES,bruno-gadelha;igor-steinmacher;patricia-matsubara;tayana-conte
conf/sbes/OliveiraFVLCSZ21,2021,Towards Improving Experimentation in Software Engineering,SBES,igor-steinmacher
conf/icse/GerosaWTLRTSS21,2021,The Shifting Sands of Motivation: Revisiting What Drives Contributors in Open Source,ICSE,bianca-trinkenreich;igor-steinmacher;igor-wiese;marco-gerosa
journals/pacmhci/GuizaniCTMNRZIS21,2021,The Long Road Ahead: Ongoing Challenges in Contributing to Large OSS Organizations and What to Do,Proc. ACM Hum. Comput. Interact.,bianca-trinkenreich;igor-steinmacher;marco-gerosa
conf/conversations/ChavesG21,2021,The Impact of Chatbot Linguistic Register on User Perceptions: A Replication Study,CONVERSATIONS,ana-paula-chaves;marco-gerosa
journals/sigsoft/ShihabWG21,2021,Summary of the 2nd International Workshop on Bots in Software Engineering (BotSE 2020),ACM SIGSOFT Softw. Eng. Notes,marco-gerosa
conf/conversations/AlvesWCS21,2021,How to Find My Task? Chatbot to Assist Newcomers in Choosing Tasks in OSS Projects,CONVERSATIONS,ana-paula-chaves;igor-steinmacher;igor-wiese
journals/ijhci/ChavesG21,2021,How Should My Chatbot Interact? A Survey on Social Characteristics in Human-Chatbot Interaction Design,Int. J. Hum. Comput. Interact.,ana-paula-chaves;marco-gerosa
conf/msr/KinsmanWGT21,2021,How Do Software Developers Use GitHub Actions to Automate Their Workflows?,MSR,mairieli-wessel;marco-gerosa
journals/isys/BernardiniGSFVH21,2021,Editorial Vol. 14 No. 3,Braz. J. Inf. Syst.,igor-steinmacher
